"Date";"Close Price";"Signal"
"2016-10-30";3354.6;"Hold"
"2016-11-01";3370.8;"Hold"
"2016-11-02";3324.25;"Hold"
"2016-11-03";3379.5;"Hold"
"2016-11-04";3282.95;"Hold"
"2016-11-07";3350.15;"Hold"
"2016-11-08";3369.6;"Hold"
"2016-11-09";3235.7;"Hold"
"2016-11-10";3144.55;"Hold"
"2016-11-11";2981.75;"Hold"
"2016-11-15";2900.7;"Hold"
"2016-11-16";2914.5;"Hold"
"2016-11-17";2878.15;"Hold"
"2016-11-18";2934.75;"Hold"
"2016-11-21";2928.1;"Hold"
"2016-11-22";2997.0;"Hold"
"2016-11-23";3012.85;"Hold"
"2016-11-24";3049.6;"Hold"
"2016-11-25";3039.1;"Hold"
"2016-11-28";3101.5;"Hold"
"2016-11-29";3160.05;"Hold"
"2016-11-30";3169.0;"Hold"
"2016-12-01";3178.35;"Hold"
"2016-12-02";3183.7;"Hold"
"2016-12-05";3224.4;"Hold"
"2016-12-06";3198.0;"Hold"
"2016-12-07";3227.2;"Hold"
"2016-12-08";3308.95;"Hold"
"2016-12-09";3281.15;"Hold"
"2016-12-12";3216.55;"Hold"
"2016-12-13";3201.95;"Hold"
"2016-12-14";3163.2;"Hold"
"2016-12-15";3168.1;"Hold"
"2016-12-16";3128.0;"Hold"
"2016-12-19";3105.7;"Hold"
"2016-12-20";3057.15;"Hold"
"2016-12-21";3026.65;"Hold"
"2016-12-22";3000.5;"Hold"
"2016-12-23";3036.0;"Hold"
"2016-12-26";3004.4;"Hold"
"2016-12-27";3034.0;"Hold"
"2016-12-28";3004.8;"Hold"
"2016-12-29";3032.3;"Hold"
"2016-12-30";3044.75;"Hold"
"2017-01-02";3028.7;"Hold"
"2017-01-03";2987.35;"Hold"
"2017-01-04";3014.25;"Hold"
"2017-01-05";3072.3;"Hold"
"2017-01-06";3068.6;"Hold"
"2017-01-09";3035.9;"Hold"
"2017-01-10";3062.95;"Hold"
"2017-01-11";3087.0;"Hold"
"2017-01-12";3079.65;"Hold"
"2017-01-13";3044.65;"Hold"
"2017-01-16";3091.4;"Hold"
"2017-01-17";3131.65;"Hold"
"2017-01-18";3088.85;"Hold"
"2017-01-19";3107.9;"Hold"
"2017-01-20";3056.6;"Hold"
"2017-01-23";3099.55;"Hold"
"2017-01-24";3133.25;"Hold"
"2017-01-25";3240.35;"Hold"
"2017-01-27";3216.3;"Hold"
"2017-01-30";3196.85;"Hold"
"2017-01-31";3179.25;"Buy"
"2017-02-01";3284.1;"Hold"
"2017-02-02";3226.0;"Hold"
"2017-02-03";3215.7;"Hold"
"2017-02-06";3262.8;"Hold"
"2017-02-07";3258.75;"Hold"
"2017-02-08";3223.8;"Hold"
"2017-02-09";3264.3;"Hold"
"2017-02-10";3266.45;"Hold"
"2017-02-13";3226.4;"Hold"
"2017-02-14";3161.15;"Hold"
"2017-02-15";3098.4;"Hold"
"2017-02-16";3126.1;"Hold"
"2017-02-17";3085.65;"Hold"
"2017-02-20";3103.0;"Hold"
"2017-02-21";3128.5;"Hold"
"2017-02-22";3164.8;"Hold"
"2017-02-23";3177.2;"Hold"
"2017-02-27";3168.35;"Hold"
"2017-02-28";3135.0;"Hold"
"2017-03-01";3184.0;"Hold"
"2017-03-02";3227.55;"Hold"
"2017-03-03";3270.55;"Hold"
"2017-03-06";3320.85;"Hold"
"2017-03-07";3299.4;"Hold"
"2017-03-08";3270.9;"Hold"
"2017-03-09";3273.7;"Hold"
"2017-03-10";3311.6;"Hold"
